Year,Holy Year,Total Pilgrims,Gender,Number of Pilgrims by Gender,Completed by,Completed by Number of Pilgrims,Motivation,Motivation Number of Pilgrims,Nationality,Lat,Long,Number of Pilgrims by Nationality,Region Started,Number of Pilgrims per Region Started,Camino Route,Number of Pilgrims per Route,Age Range,Number of Pilgrims per Age Range
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Islas Feroe ,62.0448724,-7.0322972,1,La Bañeza ,36,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,La Mesa ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Argelia ,28.0000272,2.9999825,3,Laza ,77,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Argentina ,-34.9964963,-64.9672817,590,Le Puy ,2194,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Brasil ,-10.3333333,-53.2,1439,León ,9284,Otros caminos ,1065,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Túnez ,33.8439408,9.400138,1,Leyre ,9,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bielorrusia ,53.4250605,27.6971358,2,Lisboa ,57,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Uruguay ,-32.8755548,-56.0201525,122,Logroño ,836,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bosnia ,44.3053476,17.5961467,5,Lourdes ,128,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Estonia ,58.7523778,25.3319078,81,Lugo - C.P. ,579,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Luxemburgo ,5,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Honduras ,15.2572432,-86.0755145,11,Madrid ,189,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nicaragua ,12.6090157,-85.2936911,7,Madrid - C.F. ,187,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mella ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ucrania ,49.4871968,31.2718321,30,Mérida ,484,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Panamá ,8.559559,-81.1308434,16,Mondoñedo ,276,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Murcia ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Camerún ,4.6125522,13.1535811,1,Muxia ,24,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Guinea Ecuatorial ,1.613172,10.5170357,2,Nájera ,52,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Colombia ,4.099917,-72.9088133,295,Neda ,1156,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chile ,-31.7613365,-71.3187697,180,Oporto ,852,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Guinea ,10.7226226,-10.7083587,2,Ortigueira ,57,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nueva Zelanda ,-41.5000831,172.8344077,97,Otros ,634,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Otros ,7,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Holanda ,52.2288689,5.3214503,1399,Ourense ,5616,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ecuador ,-1.3397668,-79.3666965,107,Oviedo ,763,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,México ,22.5000485,-100.000037,1001,Oviedo - C.P. ,3175,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Austria ,47.59397,14.12456,1203,Pamplona ,3253,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Letonia ,56.8406494,24.7537645,6,Paradela ,155,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Congo ,-0.7264327,15.6419155,1,París ,24,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tanzania ,-6.5247123,35.7878438,1,Peñaseita ,10,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Petín ,2,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Portugal ,40.0332629,-7.8896263,3252,Ponferrada ,10648,Camino Primitivo ,4876,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pontedeume ,6,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Taiwán ,23.9739374,120.9820179,13,Porriño ,214,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Malta ,35.8885993,14.4476911,17,Puebla de Sanabria ,293,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Filipinas ,12.7503486,122.7312101,19,Puente la Reina ,330,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Arabia Saudita ,25.6242618,42.3528328,1,Rábade ,34,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vietnam ,13.2904027,108.4265113,2,Reino Unido ,37,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Irán ,32.6475314,54.5643516,3,Republica Checa ,71,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hungría ,47.1817585,19.5060937,246,Resto Asturias ,940,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Armenia ,40.7696272,44.6736646,4,Resto Asturias - C.P. ,103,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Eslovenia ,45.8133113,14.4808369,410,Resto C. León ,1300,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Groenlandia ,77.6192349,-42.8125967,4,Resto C. León - V.P. ,93,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Islandia ,64.9841821,-18.1059013,12,Resto Cantabria ,204,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Benin ,9.5293472,2.2584408,1,Resto de Extremadura ,31,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Israel ,31.5313113,34.8667654,30,Resto País Vasco ,499,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Polonia ,52.215933,19.134422,357,Resto Portugal ,1284,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Suecia ,59.6749712,14.5208584,322,Ribadeo ,1227,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Zimbabwe ,-18.4554963,29.7468414,1,Roma ,9,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,Horseback,1572,Not religious,10086,Alemania ,51.0834196,10.4234469,6816,Roncesvalles ,13108,Via de la Plata ,9309,> 60 ,14561
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Estados Unidos ,39.7837304,-100.445882,2028,S. Jean P. Port ,9343,Camino Inglés ,3092,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rusia ,64.6863136,97.7453061,49,Sahagún ,524,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Marruecos ,31.1728205,-7.3362482,26,Salamanca ,414,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mauritania ,20.2540382,-9.2399263,2,Salas ,41,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Australia ,-24.7761086,134.755,480,Samos ,1614,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Senegal ,14.4750607,-14.4529612,2,San Juan de Ortega ,39,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Eslovaquia ,48.7411522,19.4528646,76,Santander ,563,NULL,NULL,NULL,NULL
2004,No,179944,Male,100431,Foot,156952,Religious,134330,España ,39.3260685,-4.8379791,137163,Sarria ,39583,Camino Francés ,138646,< 30 ,98600
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Japón ,36.5748441,139.2394179,257,Sevilla ,987,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Silleda ,2,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Finlandia ,63.2467777,25.9209164,302,Somport ,1196,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Costa Rica ,10.2735633,-84.0739102,24,Sto. Domingo de la Calzada ,368,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Singapur ,1.357107,103.8194992,7,Suiza ,175,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Egipto ,26.2540493,29.2675469,1,Tineo ,24,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia ,-2.4833826,117.8902853,2,Tineo - C.P. ,46,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Suiza ,46.7985624,8.2319736,699,Triacastela ,2370,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,Wheelchair,60,NULL,NULL,Francia ,46.603354,1.8883335,6567,Tui ,10725,Camino del Norte ,7117,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,I. Reunión ,-21.1307379,55.5364801,1,Valcarlos ,20,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dinamarca ,55.670249,10.3333283,415,Valença do Minho ,1594,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mauricio ,-20.2759451,57.5703566,6,Valencia ,139,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Valladolid ,6,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paraguay ,-23.3165935,-58.1693445,13,Vega de Valcarce ,216,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Serbia ,44.1534121,20.55144,4,Vegadeo ,80,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ventas de Narón ,1,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Guatemala ,15.6356088,-89.8988087,16,Verín ,282,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yugoslavia ,44.81899672,20.4573315,3,Vezelay ,65,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Andorra ,42.5407167,1.5732033,117,Vigo ,808,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Belgica ,50.6402809,4.6667145,1279,Vilafranca ,4686,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Noruega ,60.5000209,9.0999715,262,Vilalba ,1031,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gambia ,13.470062,-15.4900464,1,Vincios ,22,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cabo Verde ,16.0000552,-24.0083947,1,Viveiro ,27,NULL,NULL,NULL,NULL
2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cuba ,23.0131338,-80.8328748,25,Zamora ,369,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A Guarda ,4,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Finlandia ,63.2467777,25.9209164,272,Alemania ,513,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,India ,22.3511148,78.6677428,6,Arles ,117,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Artieda ,3,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Holanda ,52.2288689,5.3214503,1610,Astorga ,4303,Otros caminos ,359,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Camerún ,4.6125522,13.1535811,3,Austria ,78,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,El Salvador ,13.8000382,-88.9140683,8,Avilés ,142,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Fiji ,-18.1239696,179.0122737,1,Badajoz ,20,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chipre ,34.9823018,33.1451285,2,Barcelona ,58,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cuba ,23.0131338,-80.8328748,17,Bélgica ,259,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Benavente ,7,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Croacia ,45.5643442,17.0118954,24,Bilbao ,281,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Borres ,1,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Malasia ,4.5693754,102.2656823,11,Braga ,165,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Austria ,47.59397,14.12456,1470,Burgos ,2609,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jamaica ,18.1850507,-77.3947693,2,Cáceres ,54,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Zimbabwe ,-18.4554963,29.7468414,1,Cadavo ,13,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Panamá ,8.559559,-81.1308434,5,Canfranc ,87,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Marruecos ,31.1728205,-7.3362482,12,Carrión de los Condes ,173,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cast. la Mancha ,7,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pakistán ,30.3308401,71.247499,1,Castilla La Mancha ,14,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Castilla la Mancha ,7,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tailandia ,14.8971921,100.83273,2,Castrojeriz ,44,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Singapur ,1.357107,103.8194992,3,Cataluña ,66,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cataluña ,5,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cea ,1,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,Wheelchair,23,NULL,NULL,Francia ,46.603354,1.8883335,5909,Cebreiro ,7434,Via de la Plata ,3140,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sierra Leona ,8.6400349,-11.8400269,1,Com. Valenciana ,14,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Córdoba ,4,NULL,NULL,NULL,NULL
2005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rep. Popular Democrática de Corea ,36.5,127.75,1,Dinamarca ,14,NULL,NULL,NULL,NULL
